Virus name	Accession ID	Collection date	Location	travel	excluded	followed up	baseline surveillance
hCoV-19/South Korea/KDCA4459/2021	EPI_ISL_2361211	2021-04-25	Asia / South Korea				
hCoV-19/South Korea/KDCA4460/2021	EPI_ISL_2361212	2021-04-25	Asia / South Korea				
hCoV-19/South Korea/KDCA4461/2021	EPI_ISL_2361213	2021-04-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4462/2021	EPI_ISL_2361214	2021-04-21	Asia / South Korea				
hCoV-19/South Korea/KDCA4463/2021	EPI_ISL_2361215	2021-04-23	Asia / South Korea				
hCoV-19/South Korea/KDCA4464/2021	EPI_ISL_2361216	2021-04-23	Asia / South Korea				
hCoV-19/South Korea/KDCA4465/2021	EPI_ISL_2361217	2021-04-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4466/2021	EPI_ISL_2361218	2021-04-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4467/2021	EPI_ISL_2361219	2021-04-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4470/2021	EPI_ISL_2361220	2021-04-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4471/2021	EPI_ISL_2361221	2021-04-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4472/2021	EPI_ISL_2361222	2021-04-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4473/2021	EPI_ISL_2361223	2021-04-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4475/2021	EPI_ISL_2361225	2021-04-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4478/2021	EPI_ISL_2361226	2021-04-30	Asia / South Korea				
hCoV-19/South Korea/KDCA4479/2021	EPI_ISL_2361227	2021-04-26	Asia / South Korea				
hCoV-19/South Korea/KDCA4480/2021	EPI_ISL_2361228	2021-04-24	Asia / South Korea				
hCoV-19/South Korea/KDCA4481/2021	EPI_ISL_2361229	2021-04-29	Asia / South Korea				
hCoV-19/South Korea/KDCA4483/2021	EPI_ISL_2361230	2021-04-29	Asia / South Korea				
hCoV-19/South Korea/KDCA4484/2021	EPI_ISL_2361231	2021-04-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4485/2021	EPI_ISL_2361232	2021-04-30	Asia / South Korea				
hCoV-19/South Korea/KDCA4486/2021	EPI_ISL_2361233	2021-04-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4487/2021	EPI_ISL_2361234	2021-04-29	Asia / South Korea				
hCoV-19/South Korea/KDCA4488/2021	EPI_ISL_2361235	2021-04-30	Asia / South Korea				
hCoV-19/South Korea/KDCA4489/2021	EPI_ISL_2361236	2021-04-28	Asia / South Korea				
hCoV-19/South Korea/KDCA4490/2021	EPI_ISL_2361237	2021-05-05	Asia / South Korea				
hCoV-19/South Korea/KDCA4492/2021	EPI_ISL_2361238	2021-05-03	Asia / South Korea				
hCoV-19/South Korea/KDCA4493/2021	EPI_ISL_2361239	2021-05-04	Asia / South Korea				
hCoV-19/South Korea/KDCA4494/2021	EPI_ISL_2361240	2021-05-05	Asia / South Korea				
hCoV-19/South Korea/KDCA4495/2021	EPI_ISL_2361241	2021-05-02	Asia / South Korea				
hCoV-19/South Korea/KDCA4496/2021	EPI_ISL_2361242	2021-05-01	Asia / South Korea				
hCoV-19/South Korea/KDCA4497/2021	EPI_ISL_2361243	2021-05-07	Asia / South Korea				
hCoV-19/South Korea/KDCA4498/2021	EPI_ISL_2361244	2021-05-09	Asia / South Korea				
hCoV-19/South Korea/KDCA4499/2021	EPI_ISL_2361245	2021-05-09	Asia / South Korea				
hCoV-19/South Korea/KDCA4500/2021	EPI_ISL_2361246	2021-05-06	Asia / South Korea				
hCoV-19/South Korea/KDCA4501/2021	EPI_ISL_2361247	2021-05-07	Asia / South Korea				
hCoV-19/South Korea/KDCA4502/2021	EPI_ISL_2361248	2021-05-07	Asia / South Korea				
hCoV-19/South Korea/KDCA4504/2021	EPI_ISL_2361249	2021-05-08	Asia / South Korea				
hCoV-19/South Korea/KDCA4505/2021	EPI_ISL_2361250	2021-05-09	Asia / South Korea				
hCoV-19/South Korea/KDCA4506/2021	EPI_ISL_2361251	2021-05-08	Asia / South Korea				
hCoV-19/South Korea/KDCA4507/2021	EPI_ISL_2361252	2021-05-07	Asia / South Korea				
hCoV-19/South Korea/KDCA4508/2021	EPI_ISL_2361253	2021-05-06	Asia / South Korea				
hCoV-19/South Korea/KDCA4509/2021	EPI_ISL_2361254	2021-05-06	Asia / South Korea				
hCoV-19/South Korea/KDCA4510/2021	EPI_ISL_2361255	2021-05-06	Asia / South Korea				
hCoV-19/South Korea/KDCA4511/2021	EPI_ISL_2361256	2021-05-09	Asia / South Korea				
hCoV-19/South Korea/KDCA4512/2021	EPI_ISL_2361257	2021-05-05	Asia / South Korea				
hCoV-19/South Korea/KDCA4513/2021	EPI_ISL_2361258	2021-05-07	Asia / South Korea				
hCoV-19/South Korea/KDCA4514/2021	EPI_ISL_2361259	2021-05-03	Asia / South Korea				
hCoV-19/South Korea/KDCA4515/2021	EPI_ISL_2361260	2021-05-04	Asia / South Korea				
hCoV-19/South Korea/KDCA4516/2021	EPI_ISL_2361261	2021-04-27	Asia / South Korea				
hCoV-19/South Korea/KDCA4517/2021	EPI_ISL_2361262	2021-05-07	Asia / South Korea				
hCoV-19/South Korea/KDCA4519/2021	EPI_ISL_2361263	2021-05-04	Asia / South Korea				
hCoV-19/South Korea/KDCA4520/2021	EPI_ISL_2361264	2021-05-08	Asia / South Korea				
hCoV-19/South Korea/KDCA4521/2021	EPI_ISL_2361265	2021-05-09	Asia / South Korea				
hCoV-19/Portugal/PT8046/2021	EPI_ISL_2362120	2021-05-14	Europe / Portugal				
hCoV-19/Portugal/PT8047/2021	EPI_ISL_2362121	2021-05-14	Europe / Portugal				
hCoV-19/Portugal/PT8048/2021	EPI_ISL_2362122	2021-05-14	Europe / Portugal				
hCoV-19/Portugal/PT8049/2021	EPI_ISL_2362123	2021-05-14	Europe / Portugal				
hCoV-19/Portugal/PT8050/2021	EPI_ISL_2362124	2021-05-14	Europe / Portugal				
hCoV-19/Portugal/PT8051/2021	EPI_ISL_2362125	2021-05-14	Europe / Portugal				
hCoV-19/Portugal/PT8052/2021	EPI_ISL_2362126	2021-05-14	Europe / Portugal				
hCoV-19/Portugal/PT8053/2021	EPI_ISL_2362127	2021-05-14	Europe / Portugal				
hCoV-19/Portugal/PT8054/2021	EPI_ISL_2362128	2021-05-14	Europe / Portugal				
hCoV-19/Portugal/PT8055/2021	EPI_ISL_2362129	2021-05-14	Europe / Portugal				
hCoV-19/Portugal/PT8056/2021	EPI_ISL_2362130	2021-05-14	Europe / Portugal				
hCoV-19/Portugal/PT8057/2021	EPI_ISL_2362131	2021-05-14	Europe / Portugal				
hCoV-19/Portugal/PT8058/2021	EPI_ISL_2362132	2021-05-14	Europe / Portugal				
hCoV-19/Central African Republic/226/2021	EPI_ISL_2365407	2021-03-25	Africa / Central African Republic / Bayanga				
hCoV-19/Central African Republic/229/2021	EPI_ISL_2365408	2021-03-29	Africa / Central African Republic / Bayanga				
hCoV-19/Central African Republic/234/2021	EPI_ISL_2365409	2021-03-31	Africa / Central African Republic / Bayanga				
hCoV-19/Central African Republic/235/2021	EPI_ISL_2365410	2021-03-31	Africa / Central African Republic / Bayanga				
hCoV-19/Central African Republic/237/2021	EPI_ISL_2365411	2021-03-31	Africa / Central African Republic / Bayanga				
hCoV-19/Central African Republic/242/2021	EPI_ISL_2365412	2021-03-31	Africa / Central African Republic / Bayanga				
hCoV-19/Central African Republic/245/2021	EPI_ISL_2365413	2021-03-02	Africa / Central African Republic / Bayanga				
hCoV-19/Central African Republic/249/2021	EPI_ISL_2365414	2021-04-01	Africa / Central African Republic / Bayanga				
hCoV-19/Central African Republic/266/2021	EPI_ISL_2365415	2021-04-12	Africa / Central African Republic / Bayanga				
hCoV-19/Central African Republic/301/2021	EPI_ISL_2365416	2021-04-22	Africa / Central African Republic / Bayanga				
hCoV-19/Central African Republic/326/2021	EPI_ISL_2365417	2021-04-26	Africa / Central African Republic / Bayanga				
hCoV-19/Italy/APU-POLBA70/2021	EPI_ISL_2365937	2021-04-15	Europe / Italy / Apulia				
hCoV-19/USA/IL-CDC-ASC210066063/2021	EPI_ISL_2370500	2021-05-23	North America / USA / Illinois				
hCoV-19/France/ARA-HCL990000293005/2021	EPI_ISL_2373927	2021-05-19	Europe / France / Auvergne-Rhone-Alpes / Lyon				
hCoV-19/France/ARA-HCL990000295019/2021	EPI_ISL_2373932	2021-05-20	Europe / France / Auvergne-Rhone-Alpes / Lyon				
hCoV-19/France/IDF-SLS762104068369/2021	EPI_ISL_2373973	2021-04-20	Europe / France / Ile-de-France				
hCoV-19/France/HDF-IPP12190/2021	EPI_ISL_2374183	2021-04-20	Europe / France / Hauts-de-France / Amiens				
hCoV-19/France/CVL-IPP12707/2021	EPI_ISL_2374411	2021-05-03	Europe / France / Centre Val de Loire / Orleans				
hCoV-19/Germany/NW-RKI-I-163786/2021	EPI_ISL_2387453	2021-05-14	Europe / Germany / North Rhine-Westphalia				
hCoV-19/Germany/NW-RKI-I-164932/2021	EPI_ISL_2388214	2021-05-24	Europe / Germany / North Rhine-Westphalia				
hCoV-19/Germany/BW-RKI-I-167766/2021	EPI_ISL_2390317	2021-05-17	Europe / Germany / Baden-Wurttemberg				
hCoV-19/Switzerland/GE-011415439201/2021	EPI_ISL_2403787	2021-05-20	Europe / Switzerland / Geneva				
hCoV-19/France/IDF-CERBAHC-AH3KVTBGXJ-S35/2021	EPI_ISL_2421124	2021-04-12	Europe / France / Ile-de-France				
hCoV-19/Belgium/rega-6642/2021	EPI_ISL_2424358	2021-03-29	Europe / Belgium / Vorst				
hCoV-19/Lithuania/LTU000_VULSK_210515120063/2021	EPI_ISL_2428226	2021-05-14	Europe / Lithuania / Vilniaus apskritis				
hCoV-19/Lithuania/LTU000_NMVRI_109762/2021	EPI_ISL_2428278	2021-05-10	Europe / Lithuania / Vilniaus apskritis				
